ID,DATE,TIME,ROLE,COMPANY_NAME,LOCATION,LINK
916,2024-03-07,0 days 02:58:12,Business Analyst,Swiggy,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/business-analyst-at-swiggy-3848602373?position=3&pageNum=0&refId=fql7R8AaXl3A1G4fG7w8zQ%3D%3D&trackingId=WO%2BDqkoLks%2B1fokGiS0Wmg%3D%3D&trk=public_jobs_jserp-result_search-card
917,2024-03-07,0 days 02:58:12,Python Developer,Patch Infotech Pvt Ltd,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/python-developer-at-patch-infotech-pvt-ltd-3843687958?position=5&pageNum=0&refId=fql7R8AaXl3A1G4fG7w8zQ%3D%3D&trackingId=15D4wLh9pjMKml0q2y%2FCQw%3D%3D&trk=public_jobs_jserp-result_search-card
918,2024-03-07,0 days 02:58:12,Python Developer,Astuto,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/python-developer-at-astuto-3843690543?position=6&pageNum=0&refId=fql7R8AaXl3A1G4fG7w8zQ%3D%3D&trackingId=3KYo026CxssO%2Bw6a4kSmWA%3D%3D&trk=public_jobs_jserp-result_search-card
919,2024-03-07,0 days 02:58:12,Production Engineer,Armstrong Fluid Technology,"Bengaluru East, Karnataka, India",https://in.linkedin.com/jobs/view/production-engineer-at-armstrong-fluid-technology-3783881862?position=8&pageNum=0&refId=fql7R8AaXl3A1G4fG7w8zQ%3D%3D&trackingId=1fvZ8eyczt46bIcec4iRfQ%3D%3D&trk=public_jobs_jserp-result_search-card
920,2024-03-07,0 days 02:58:12,Hindustan Times - Quality Engineer - Manual/Automation Testing,Hindustan Times,"Gurugram, Haryana, India",https://in.linkedin.com/jobs/view/hindustan-times-quality-engineer-manual-automation-testing-at-hindustan-times-3844015421?position=9&pageNum=0&refId=fql7R8AaXl3A1G4fG7w8zQ%3D%3D&trackingId=a8rAUhykxJyJ22nBtiGbsg%3D%3D&trk=public_jobs_jserp-result_search-
921,2024-03-07,0 days 02:58:12,Python Developer,InterEx Group,"Bangalore Urban district, India",https://in.linkedin.com/jobs/view/python-developer-at-interex-group-3824309683?position=12&pageNum=0&refId=fql7R8AaXl3A1G4fG7w8zQ%3D%3D&trackingId=XFUAfzPBqq41NIgC2AkNMg%3D%3D&trk=public_jobs_jserp-result_search-card
922,2024-03-07,0 days 02:58:12,Python Developer,Ready2Hire(R2H) Recruitment Consultant- Human Resources Consulting,"Navi Mumbai, Maharashtra, India",https://in.linkedin.com/jobs/view/python-developer-at-ready2hire-r2h-recruitment-consultant-human-resources-consulting-3848193519?position=13&pageNum=0&refId=fql7R8AaXl3A1G4fG7w8zQ%3D%3D&trackingId=mS9NbHT3fS7UhlAaxOFOhQ%3D%3D&trk=public_jobs_jserp-result
923,2024-03-07,0 days 02:58:12,Intern - Analytics,Fi,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/intern-analytics-at-fi-3848162657?position=15&pageNum=0&refId=fql7R8AaXl3A1G4fG7w8zQ%3D%3D&trackingId=Q3bkO2vv%2B1W65NJ6eQNGsA%3D%3D&trk=public_jobs_jserp-result_search-card
924,2024-03-07,0 days 02:58:12,Backend Developer (Python / Node),Oneture Technologies,Mumbai Metropolitan Region,https://in.linkedin.com/jobs/view/backend-developer-python-node-at-oneture-technologies-3843691329?position=17&pageNum=0&refId=fql7R8AaXl3A1G4fG7w8zQ%3D%3D&trackingId=HHU%2F3sa32i4YVl0WadORJA%3D%3D&trk=public_jobs_jserp-result_search-card
925,2024-03-07,0 days 02:58:12,Python Developer - Django/Flask,Softtek,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/python-developer-django-flask-at-softtek-3847802590?position=18&pageNum=0&refId=fql7R8AaXl3A1G4fG7w8zQ%3D%3D&trackingId=%2Fg3XG7HXKfQmT%2BWSftb%2F7A%3D%3D&trk=public_jobs_jserp-result_search-card
926,2024-03-07,0 days 02:58:12,Data Analyst,Deliveroo,"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/data-analyst-at-deliveroo-3812269207?position=19&pageNum=0&refId=fql7R8AaXl3A1G4fG7w8zQ%3D%3D&trackingId=9P%2B4Q6gTKqcDohNKcJ7KNg%3D%3D&trk=public_jobs_jserp-result_search-card
927,2024-03-07,0 days 02:58:12,Business Analyst,EXL,"Gurugram, Haryana, India",https://in.linkedin.com/jobs/view/business-analyst-at-exl-3848164999?position=21&pageNum=0&refId=fql7R8AaXl3A1G4fG7w8zQ%3D%3D&trackingId=Pf2hkeg5Yzuo6WE5hP2qew%3D%3D&trk=public_jobs_jserp-result_search-card
928,2024-03-07,0 days 02:58:12,"HTML, CSS Developer",Jade Global,"Pune, Maharashtra, India",https://in.linkedin.com/jobs/view/html-css-developer-at-jade-global-3826229372?position=22&pageNum=0&refId=fql7R8AaXl3A1G4fG7w8zQ%3D%3D&trackingId=E85JRz5wPUH1dLIvCMT9QQ%3D%3D&trk=public_jobs_jserp-result_search-card
929,2024-03-07,0 days 02:58:12,Data Research Analyst,Forbes Advisor,Mumbai Metropolitan Region,https://in.linkedin.com/jobs/view/data-research-analyst-at-forbes-advisor-3847678069?position=23&pageNum=0&refId=fql7R8AaXl3A1G4fG7w8zQ%3D%3D&trackingId=2YtrKukPZYoxIHcIW2vWqA%3D%3D&trk=public_jobs_jserp-result_search-card
930,2024-03-07,0 days 02:58:12,Datawrkz - Software Engineer - Python/Django,Datawrkz,Greater Kolkata Area,https://in.linkedin.com/jobs/view/datawrkz-software-engineer-python-django-at-datawrkz-3844012997?position=24&pageNum=0&refId=fql7R8AaXl3A1G4fG7w8zQ%3D%3D&trackingId=Flj7CKf7DBMD7OwxB8tCgw%3D%3D&trk=public_jobs_jserp-result_search-card
931,2024-03-07,0 days 02:58:12,Analyst/Senior Analyst – Data Analytics,D. E. Shaw India Private Limited,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/analyst-senior-analyst-%E2%80%93-data-analytics-at-d-e-shaw-india-private-limited-3703215070?position=26&pageNum=0&refId=fql7R8AaXl3A1G4fG7w8zQ%3D%3D&trackingId=eGT%2FL9WYigOhikkMmQvflw%3D%3D&trk=public_jobs_jserp-result_
