ID,DATE,TIME,ROLE,COMPANY_NAME,LOCATION,LINK
4698,2024-04-10,0 days 07:30:45,Staff Data Platform Engineer,ZUMA,Berlin Metropolitan Area,https://de.linkedin.com/jobs/view/staff-data-platform-engineer-at-zuma-3883120536?position=25&pageNum=0&refId=g4fkznviHbWgB4PzmlYVyw%3D%3D&trackingId=SkD5c%2BqAR3apt%2FxqyaeFBQ%3D%3D&trk=public_jobs_jserp-result_search-card
4699,2024-04-10,0 days 07:30:45,PATIENT SERVICE ASSOCIATE - CANCER CENTER REGISTRATION,Duke University,"Durham, NC",https://www.linkedin.com/jobs/view/patient-service-associate-cancer-center-registration-at-duke-university-3891748281?position=1&pageNum=0&refId=JXDByEOZ9fpbE9zlO29Vnw%3D%3D&trackingId=pOamSTlfdoLO9SPskvdMQw%3D%3D&trk=public_jobs_jserp-result_search-card
4700,2024-04-10,0 days 07:30:45,Field Medical Assistant,Eventus WholeHealth,"Morganton, NC",https://www.linkedin.com/jobs/view/field-medical-assistant-at-eventus-wholehealth-3889716569?position=2&pageNum=0&refId=JXDByEOZ9fpbE9zlO29Vnw%3D%3D&trackingId=%2FDlyWE0tC0xtVaQHWcFJ5w%3D%3D&trk=public_jobs_jserp-result_search-card
4701,2024-04-10,0 days 07:30:45,Front Desk Receptionist,Center for Emotional Health,"Charlotte, NC",https://www.linkedin.com/jobs/view/front-desk-receptionist-at-center-for-emotional-health-3889709532?position=3&pageNum=0&refId=JXDByEOZ9fpbE9zlO29Vnw%3D%3D&trackingId=7p9bi9T1UfNaL3YeKgqV3g%3D%3D&trk=public_jobs_jserp-result_search-card
4702,2024-04-10,0 days 07:30:45,Administrative Assistant Entry Level,Medstaff National Medical Staffing,"Cary, NC",https://www.linkedin.com/jobs/view/administrative-assistant-entry-level-at-medstaff-national-medical-staffing-3889705965?position=4&pageNum=0&refId=JXDByEOZ9fpbE9zlO29Vnw%3D%3D&trackingId=I%2FqvI5JgWYuseYLCXPtquw%3D%3D&trk=public_jobs_jserp-result_search-
4703,2024-04-10,0 days 07:30:45,Scheduling Coordinator (REMOTE),FeyerAssociates INC,"Asheville, NC",https://www.linkedin.com/jobs/view/scheduling-coordinator-remote-at-feyerassociates-inc-3892043094?position=5&pageNum=0&refId=JXDByEOZ9fpbE9zlO29Vnw%3D%3D&trackingId=c%2FkVKimS6JUSvxJp5rdZ%2Fw%3D%3D&trk=public_jobs_jserp-result_search-card
4704,2024-04-10,0 days 07:30:45,Administrative Operations Manager,Mosaic Pediatric Therapy,"Charlotte, NC",https://www.linkedin.com/jobs/view/administrative-operations-manager-at-mosaic-pediatric-therapy-3889739095?position=6&pageNum=0&refId=JXDByEOZ9fpbE9zlO29Vnw%3D%3D&trackingId=SHvvooBGCgnRxsiwbPpy0Q%3D%3D&trk=public_jobs_jserp-result_search-card
4705,2024-04-10,0 days 07:30:45,Clinical Data Analyst,Crescens Inc.,"Raleigh, NC",https://www.linkedin.com/jobs/view/clinical-data-analyst-at-crescens-inc-3891565726?position=7&pageNum=0&refId=JXDByEOZ9fpbE9zlO29Vnw%3D%3D&trackingId=ZPYElz40iZzxEFXfbD7bwg%3D%3D&trk=public_jobs_jserp-result_search-card
4706,2024-04-10,0 days 07:30:45,Population Health Specialist,DevCare Solutions,"Raleigh, NC",https://www.linkedin.com/jobs/view/population-health-specialist-at-devcare-solutions-3887648586?position=8&pageNum=0&refId=JXDByEOZ9fpbE9zlO29Vnw%3D%3D&trackingId=J9jeP068Aoyah80L5WefCA%3D%3D&trk=public_jobs_jserp-result_search-card
4707,2024-04-10,0 days 07:30:45,Coordinator - Atrium Health Bariatric and Weight Management Center FT,Atrium Health,"Charlotte, NC",https://www.linkedin.com/jobs/view/coordinator-atrium-health-bariatric-and-weight-management-center-ft-at-atrium-health-3891572457?position=9&pageNum=0&refId=JXDByEOZ9fpbE9zlO29Vnw%3D%3D&trackingId=f5GJo064jfLZLZw64C8G5w%3D%3D&trk=public_jobs_jserp-result
4708,2024-04-10,0 days 07:30:45,Clinical Evaluator (Hybrid),Acentra Health,"Boone, NC",https://www.linkedin.com/jobs/view/clinical-evaluator-hybrid-at-acentra-health-3887639279?position=11&pageNum=0&refId=JXDByEOZ9fpbE9zlO29Vnw%3D%3D&trackingId=jQtpuUBpOyzIvIGuyWtsUg%3D%3D&trk=public_jobs_jserp-result_search-card
4709,2024-04-10,0 days 07:30:45,Clerical Position/Data Entry,The Agency Group,"Greensboro, NC",https://www.linkedin.com/jobs/view/clerical-position-data-entry-at-the-agency-group-3889713431?position=12&pageNum=0&refId=JXDByEOZ9fpbE9zlO29Vnw%3D%3D&trackingId=OquasgzcotLfjj8S%2FVE%2Bhg%3D%3D&trk=public_jobs_jserp-result_search-card
4710,2024-04-10,0 days 07:30:45,Certified Medical Assistant,CoreLife Healthcare,"Pineville, NC",https://www.linkedin.com/jobs/view/certified-medical-assistant-at-corelife-healthcare-3891691509?position=17&pageNum=0&refId=JXDByEOZ9fpbE9zlO29Vnw%3D%3D&trackingId=9%2BhItQCaAAL7HP%2B3r%2FokiQ%3D%3D&trk=public_jobs_jserp-result_search-card
4711,2024-04-10,0 days 07:30:45,Personal Care Aide / CNA,Victorian Senior Care,"Mayodan, NC",https://www.linkedin.com/jobs/view/personal-care-aide-cna-at-victorian-senior-care-3889262215?position=18&pageNum=0&refId=JXDByEOZ9fpbE9zlO29Vnw%3D%3D&trackingId=bwqCthUCEgG1F5tJDCbIkg%3D%3D&trk=public_jobs_jserp-result_search-card
4712,2024-04-10,0 days 07:30:45,RN,"Solantra Health, PLLC","Goldsboro, NC",https://www.linkedin.com/jobs/view/rn-at-solantra-health-pllc-3890074350?position=20&pageNum=0&refId=JXDByEOZ9fpbE9zlO29Vnw%3D%3D&trackingId=bu3DuocredeSKTX5tqHjpQ%3D%3D&trk=public_jobs_jserp-result_search-card
4713,2024-04-10,0 days 07:30:45,Phase I Technical Reviewer,LaBella Associates,"Charlotte, NC",https://www.linkedin.com/jobs/view/phase-i-technical-reviewer-at-labella-associates-3888115456?position=21&pageNum=0&refId=JXDByEOZ9fpbE9zlO29Vnw%3D%3D&trackingId=wPlB%2FrIRtwKxBXRfQMTDgA%3D%3D&trk=public_jobs_jserp-result_search-card
4714,2024-04-10,0 days 07:30:45,Clinical Educator,Appalachian State University,"Boone, NC",https://www.linkedin.com/jobs/view/clinical-educator-at-appalachian-state-university-3889634313?position=22&pageNum=0&refId=JXDByEOZ9fpbE9zlO29Vnw%3D%3D&trackingId=kJIukbc0OShRw9jO0ipvZg%3D%3D&trk=public_jobs_jserp-result_search-card
4715,2024-04-10,0 days 07:30:45,"Virtual Respiratory Representative, Midwest",Verona Pharma,"Raleigh, NC",https://www.linkedin.com/jobs/view/virtual-respiratory-representative-midwest-at-verona-pharma-3891696009?position=23&pageNum=0&refId=JXDByEOZ9fpbE9zlO29Vnw%3D%3D&trackingId=hqFlJqu7LrK0BMoO4dXiwA%3D%3D&trk=public_jobs_jserp-result_search-card
4716,2024-04-10,0 days 07:30:45,Laboratory Assistant 1,Open Systems Inc.,"Triangle, NC",https://www.linkedin.com/jobs/view/laboratory-assistant-1-at-open-systems-inc-3888441149?position=27&pageNum=0&refId=JXDByEOZ9fpbE9zlO29Vnw%3D%3D&trackingId=TTKPJAsc3SVccamm7wI4uA%3D%3D&trk=public_jobs_jserp-result_search-card
4717,2024-04-10,0 days 07:30:45,Housekeeper (Full-Time),Navion Senior Living,"Hendersonville, NC",https://www.linkedin.com/jobs/view/housekeeper-full-time-at-navion-senior-living-3887671449?position=28&pageNum=0&refId=JXDByEOZ9fpbE9zlO29Vnw%3D%3D&trackingId=FFArcfMLGqtlh2Qj9CKI9g%3D%3D&trk=public_jobs_jserp-result_search-card
4718,2024-04-10,0 days 07:30:45,Health Information Specialist I-Onsite,Datavant,"Wilmington, NC",https://www.linkedin.com/jobs/view/health-information-specialist-i-onsite-at-datavant-3891715317?position=32&pageNum=0&refId=JXDByEOZ9fpbE9zlO29Vnw%3D%3D&trackingId=WssTQRIa3NUgx3FWvpqUiQ%3D%3D&trk=public_jobs_jserp-result_search-card
4719,2024-04-10,0 days 07:30:45,Medical Coordinator Support,LHH,"Raleigh, NC",https://www.linkedin.com/jobs/view/medical-coordinator-support-at-lhh-3887173500?position=33&pageNum=0&refId=JXDByEOZ9fpbE9zlO29Vnw%3D%3D&trackingId=QAHYqj1%2FFqpsOqsSc9z2BQ%3D%3D&trk=public_jobs_jserp-result_search-card
