ID,DATE,TIME,ROLE,COMPANY_NAME,LOCATION,LINK
896,2024-03-07,0 days 02:52:43,C++ Developer,iFlow Inc.,"Bangalore Urban, Karnataka, India",https://in.linkedin.com/jobs/view/c%2B%2B-developer-at-iflow-inc-3847559545?position=1&pageNum=0&refId=R636PeJ%2FbwuhWaYm8IVP5w%3D%3D&trackingId=aVAh1o6Uwxs3JiT26ztKGQ%3D%3D&trk=public_jobs_jserp-result_search-card
897,2024-03-07,0 days 02:52:43,C++ Development Specialist,KPIT,"Pune, Maharashtra, India",https://in.linkedin.com/jobs/view/c%2B%2B-development-specialist-at-kpit-3843664510?position=2&pageNum=0&refId=R636PeJ%2FbwuhWaYm8IVP5w%3D%3D&trackingId=ksUPcbBCH5hU9e7WAJOxQw%3D%3D&trk=public_jobs_jserp-result_search-card
898,2024-03-07,0 days 02:52:43,C Developer,Zee Infoservices,"Pune, Maharashtra, India",https://in.linkedin.com/jobs/view/c-developer-at-zee-infoservices-3847516954?position=3&pageNum=0&refId=R636PeJ%2FbwuhWaYm8IVP5w%3D%3D&trackingId=VFODV84E%2BgYKw3exA5PaBQ%3D%3D&trk=public_jobs_jserp-result_search-card
899,2024-03-07,0 days 02:52:43,C/C++ Developer - Video Streaming,ISparrow HR Solutions (Unit of iSparrow Services Pvt Ltd),"Ahmedabad, Gujarat, India",https://in.linkedin.com/jobs/view/c-c%2B%2B-developer-video-streaming-at-isparrow-hr-solutions-unit-of-isparrow-services-pvt-ltd-3848411981?position=4&pageNum=0&refId=R636PeJ%2FbwuhWaYm8IVP5w%3D%3D&trackingId=uHutAeGqWTIWUgrX%2BaAN5A%3D%3D&trk=public_jobs
900,2024-03-07,0 days 02:52:43,Middle/Senior C++ Developer,FPT Software,"Pune, Maharashtra, India",https://in.linkedin.com/jobs/view/middle-senior-c%2B%2B-developer-at-fpt-software-3843670231?position=7&pageNum=0&refId=R636PeJ%2FbwuhWaYm8IVP5w%3D%3D&trackingId=p1Fhr8kR5Xq4sllKLLEHwQ%3D%3D&trk=public_jobs_jserp-result_search-card
901,2024-03-07,0 days 02:52:43,Founder's Office (Strategy) role - CTC upto 36 LPA,Talentiser,"Chennai, Tamil Nadu, India",https://in.linkedin.com/jobs/view/founder-s-office-strategy-role-ctc-upto-36-lpa-at-talentiser-3843648172?position=8&pageNum=0&refId=R636PeJ%2FbwuhWaYm8IVP5w%3D%3D&trackingId=T9WGmC6Yr7qoAcXvmvFPwQ%3D%3D&trk=public_jobs_jserp-result_search-card
902,2024-03-07,0 days 02:52:43,Delivery Director,Birlasoft,"Pune, Maharashtra, India",https://in.linkedin.com/jobs/view/delivery-director-at-birlasoft-3844010302?position=11&pageNum=0&refId=R636PeJ%2FbwuhWaYm8IVP5w%3D%3D&trackingId=YAt5lZhly%2B%2BPWA%2Fd1WgUBQ%3D%3D&trk=public_jobs_jserp-result_search-card
903,2024-03-07,0 days 02:52:43,Director - Consumer Strategy & Innovation,The Walt Disney Company,Mumbai Metropolitan Region,https://in.linkedin.com/jobs/view/director-consumer-strategy-innovation-at-the-walt-disney-company-3809185610?position=16&pageNum=0&refId=R636PeJ%2FbwuhWaYm8IVP5w%3D%3D&trackingId=10QNEEMCGg4k%2BN4TzjJY%2BA%3D%3D&trk=public_jobs_jserp-result_search-card
904,2024-03-07,0 days 02:52:43,Chief Operating Officer,Chakr Innovation,"Gurugram, Haryana, India",https://in.linkedin.com/jobs/view/chief-operating-officer-at-chakr-innovation-3848134254?position=19&pageNum=0&refId=R636PeJ%2FbwuhWaYm8IVP5w%3D%3D&trackingId=eBITt%2F9An7PsKkgj%2F0cOKA%3D%3D&trk=public_jobs_jserp-result_search-card
905,2024-03-07,0 days 02:52:43,Embedded SW Development Engineer,GE Renewable Energy,"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/embedded-sw-development-engineer-at-ge-renewable-energy-3826239034?position=20&pageNum=0&refId=R636PeJ%2FbwuhWaYm8IVP5w%3D%3D&trackingId=DmMGIWPnpktKnDcZKoHhHg%3D%3D&trk=public_jobs_jserp-result_search-card
906,2024-03-07,0 days 02:52:43,Embedded Systems Intern,Sakar Robotics,"Pune, Maharashtra, India",https://in.linkedin.com/jobs/view/embedded-systems-intern-at-sakar-robotics-3847593027?position=21&pageNum=0&refId=R636PeJ%2FbwuhWaYm8IVP5w%3D%3D&trackingId=hnC8vdH1AyfXVnNtBcqLNQ%3D%3D&trk=public_jobs_jserp-result_search-card
907,2024-03-07,0 days 02:52:43,Embedded Developer,TMS,"Vadodara, Gujarat, India",https://in.linkedin.com/jobs/view/embedded-developer-at-tms-3847687413?position=29&pageNum=0&refId=R636PeJ%2FbwuhWaYm8IVP5w%3D%3D&trackingId=NcRBkUgmXz8p1RJUph9Plg%3D%3D&trk=public_jobs_jserp-result_search-card
908,2024-03-07,0 days 02:52:43,"Staff Software Engineer - C++ (OS, Linux, Networking, Distributed Systems)",Cohesity,"Bangalore Rural, Karnataka, India",https://in.linkedin.com/jobs/view/staff-software-engineer-c%2B%2B-os-linux-networking-distributed-systems-at-cohesity-3796133023?position=33&pageNum=0&refId=R636PeJ%2FbwuhWaYm8IVP5w%3D%3D&trackingId=%2BhHRNX3O3qfbVd9OB2a4Lg%3D%3D&trk=public_jobs_jserp-res
909,2024-03-07,0 days 02:52:43,Senior C++ System Programmer,Unisys,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/senior-c%2B%2B-system-programmer-at-unisys-3811925126?position=34&pageNum=0&refId=R636PeJ%2FbwuhWaYm8IVP5w%3D%3D&trackingId=9y9%2BcjXYoeRwrl6B5%2BrEoA%3D%3D&trk=public_jobs_jserp-result_search-card
910,2024-03-07,0 days 02:52:43,Embedded Software Engineer,Hashlist,Greater Chennai Area,https://in.linkedin.com/jobs/view/embedded-software-engineer-at-hashlist-3821016702?position=37&pageNum=0&refId=R636PeJ%2FbwuhWaYm8IVP5w%3D%3D&trackingId=BP%2FH3bxAQw52Xkxk7EiqWg%3D%3D&trk=public_jobs_jserp-result_search-card
911,2024-03-07,0 days 02:52:43,Rust Developer - C/C++,Forward Eye Technologies - India,Greater Kolkata Area,https://in.linkedin.com/jobs/view/rust-developer-c-c%2B%2B-at-forward-eye-technologies-india-3844012970?position=41&pageNum=0&refId=R636PeJ%2FbwuhWaYm8IVP5w%3D%3D&trackingId=SODwhActpu1tV6yM3%2F5C9A%3D%3D&trk=public_jobs_jserp-result_search-card
912,2024-03-07,0 days 02:52:43,Hardware Engineering Manager,Happiest Minds Technologies,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/hardware-engineering-manager-at-happiest-minds-technologies-3843664941?position=43&pageNum=0&refId=R636PeJ%2FbwuhWaYm8IVP5w%3D%3D&trackingId=Hw3zbjv4v0SXpPj58FSiWQ%3D%3D&trk=public_jobs_jserp-result_search-card
913,2024-03-07,0 days 02:52:43,IOT Developer,Zigsaw,Mumbai Metropolitan Region,https://in.linkedin.com/jobs/view/iot-developer-at-zigsaw-3848147248?position=44&pageNum=0&refId=R636PeJ%2FbwuhWaYm8IVP5w%3D%3D&trackingId=QS66wohpIaEFvz6jdNumkg%3D%3D&trk=public_jobs_jserp-result_search-card
914,2024-03-07,0 days 02:52:43,C level Executive Assistant,SLK,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/c-level-executive-assistant-at-slk-3843655053?position=49&pageNum=0&refId=R636PeJ%2FbwuhWaYm8IVP5w%3D%3D&trackingId=bPz34CPj1zfAh0YVWGL5DQ%3D%3D&trk=public_jobs_jserp-result_search-card
